AnnotationAccession,SeqID,Plasmid_Length,Genus,Kingdom,Annotation,isolation_source
GCF_002202275.1_ASM220227v1,NZ_CP021957.1,72122,Klebsiella,Bacteria,Unannotated,
GCF_011764505.1_ASM1176450v1,NZ_AP022840.1,140878,Legionella,Bacteria,Earth,lake sediment
GCF_024599955.1_ASM2459995v1,NZ_CP102307.1,17231,Clostridium,Bacteria,Livestock,fecal sample
GCF_003571785.1_ASM357178v1,NZ_CP032260.1,87423,Escherichia,Bacteria,Unannotated,
GCF_016127135.1_ASM1612713v1,NZ_CP065985.1,31275,Lactococcus,Bacteria,Unannotated,
GCF_023035855.1_ASM2303585v1,NZ_CP073187.1,37518,Borrelia,Bacteria,Animals,lab mouse blood
GCF_017165295.1_ASM1716529v1,NZ_CP062756.1,92759,Escherichia,Bacteria,Livestock,Bovine Faeces
GCF_013782005.1_ASM1378200v1,NZ_CP056127.1,70650,Enterobacter,Bacteria,Human-impacted,Wastewater effluent sample
GCF_032375205.1_ASM3237520v1,NZ_CP135657.1,160382,Escherichia,Bacteria,,
GCF_005937945.2_ASM593794v2,NZ_CP041756.1,41171,Pseudomonas,Bacteria,Earth,soil
GCF_016766815.1_ASM1676681v1,NZ_CP068482.1,28701,Enterococcus,Bacteria,,
GCF_023035875.1_ASM2303587v1,NZ_CP075396.1,39328,Borrelia,Bacteria,Animals,tick
GCF_023035295.1_ASM2303529v1,NZ_CP075077.1,29098,Borrelia,Bacteria,Animals,tick tissue
GCF_946406225.1_SJC1046,NZ_OX291534.1,18319,Serratia,Bacteria,,
GCF_003394085.1_ASM339408v1,NZ_CP031539.1,50160,Lactococcus,Bacteria,Human-impacted,dairy
GCF_013267155.1_ASM1326715v1,NZ_JABRWM010000004.1,40986,Agrobacterium,Bacteria,,
GCF_016889845.1_ASM1688984v1,NZ_CP069544.1,80965,Escherichia,Bacteria,Humans,
GCF_028335325.1_ASM2833532v1,NZ_CP116582.1,23710,Enterococcus,Bacteria,Livestock,fecal sample
GCF_002934965.1_ASM293496v1,NZ_CP026416.1,127843,Acinetobacter,Bacteria,Unannotated,
GCF_001721025.1_ASM172102v1,NZ_CP012458.1,40720,Enterococcus,Bacteria,,
GCF_016127435.1_ASM1612743v1,NZ_CP066011.1,93851,Salmonella,Bacteria,Unannotated,
GCF_025258705.1_ASM2525870v1,NZ_CP104336.1,328511,Acinetobacter,Bacteria,Humans,blood
GCF_904863375.1_MINF_1A,NZ_LR890328.1,70656,Escherichia,Bacteria,Humans,swab
GCF_003146655.1_ASM314665v1,NZ_CP029436.1,447095,Klebsiella,Bacteria,Humans,Peri-rectal
GCF_013707355.1_ASM1370735v1,NZ_CP055556.1,110973,Klebsiella,Bacteria,,
GCF_021725475.1_ASM2172547v1,NZ_CP091413.1,24653,Staphylococcus,Bacteria,Humans,isolated from contaminated platelets
GCF_028622735.1_ASM2862273v1,NZ_CP117751.1,310787,Enterobacter,Bacteria,Humans,blood
GCF_033395675.1_ASM3339567v1,NZ_CP137697.1,128814,Escherichia,Bacteria,,
GCF_000834965.1_ASM83496v1,NZ_CP010104.1,41959,Francisella,Bacteria,Humans,Water
GCF_022221045.1_ASM2222104v1,NZ_CP076183.1,94822,Bacillus,Bacteria,Humans,
GCF_016756055.1_ASM1675605v1,NZ_AP024252.1,24702,Mycobacterium,Bacteria,Humans,sputum
GCF_001953235.1_ASM195323v1,NZ_CP018825.1,45240,Enterococcus,Bacteria,Humans,blood
GCF_001952755.1_ASM195275v1,NZ_CP019166.1,77105,Listeria,Bacteria,Food,beef deli slices
GCF_009650155.1_ASM965015v1,NZ_CP045867.1,27265,Staphylococcus,Bacteria,Human-impacted,environmental swab sponge bakery hallway
GCF_016025415.2_ASM1602541v2,NZ_CP065568.1,247565,Salmonella,Bacteria,Humans,stool
GCF_003571745.1_ASM357174v1,NZ_CP032226.1,85410,Klebsiella,Bacteria,Unannotated,
GCF_019048105.1_ASM1904810v1,NZ_CP077319.1,40804,Providencia,Bacteria,Unannotated,
GCF_002633865.1_ASM263386v1,NZ_CP017678.1,27264,Staphylococcus,Bacteria,Human-impacted,environmental swab sponge bakery hallway
GCF_009295965.1_ASM929596v1,NZ_CP045156.1,68554,Yersinia,Bacteria,Animals,
GCF_023299685.1_ASM2329968v1,NZ_CP097049.1,58872,Enterococcus,Bacteria,Food,pet food (BARF)
GCF_013745295.1_ASM1374529v1,NZ_CP056331.1,5167,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
GCF_023612215.1_ASM2361221v1,NZ_CP048391.1,77268,Klebsiella,Bacteria,Humans,
GCF_000835235.1_ASM83523v1,NZ_CP010000.1,82528,Bacillus,Bacteria,,
GCF_025258845.1_ASM2525884v1,NZ_CP104352.1,335718,Acinetobacter,Bacteria,Humans,Wound/Abscess
GCF_017656075.1_ASM1765607v1,NZ_CP058642.1,141167,Rhodococcus,Bacteria,Earth,soil
GCF_009363655.1_ASM936365v1,NZ_CP045395.1,60597,Roseovarius,Bacteria,Human-impacted,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C
GCF_024158965.2_ASM2415896v2,NZ_CP102863.1,8713,Lacticaseibacillus,Bacteria,Humans,tongue coating
GCF_023035855.1_ASM2303585v1,NZ_CP073188.1,40073,Borrelia,Bacteria,Animals,lab mouse blood
GCF_019048525.1_ASM1904852v1,NZ_CP077371.1,47918,Acinetobacter,Bacteria,Unannotated,
GCF_002796505.1_ASM279650v1,NZ_CP024882.1,115736,Citrobacter,Bacteria,Unannotated,
GCF_000488895.1_Xag-CFBP7119-G1,NZ_CM002265.1,49044,Xanthomonas,Bacteria,,
GCF_001022155.1_ASM102215v1,NZ_CP011610.1,135117,Citrobacter,Bacteria,Humans,Urine/Genitourinary
GCF_031890185.1_ASM3189018v1,NZ_CP134748.1,49692,Pantoea,Bacteria,,
GCF_025258745.1_ASM2525874v1,NZ_CP104339.1,329791,Acinetobacter,Bacteria,Humans,Wound/Abscess
GCF_030733845.1_ASM3073384v1,NZ_CP132310.1,117457,Shinella,Bacteria,,
GCF_016728705.1_ASM1672870v1,NZ_CP068167.1,20681,Corynebacterium,Bacteria,Unannotated,
GCF_000211375.1_ASM21137v1,NC_015420.1,52697,Lentilactobacillus,Bacteria,Unannotated,
GCF_022220525.1_ASM2222052v1,NZ_CP076143.1,94822,Bacillus,Bacteria,Unannotated,
GCF_016117835.1_ASM1611783v1,NZ_CP065891.1,59043,Salmonella,Bacteria,,
GCF_905330765.2_AI2935v1_cpp,NZ_OW995943.1,90277,Citrobacter,Bacteria,Humans,Hospital Virgen de la Macarena (Sevilla)
GCF_014058445.2_ASM1405844v2,NZ_CP058683.1,92578,Escherichia,Bacteria,Food,ready to eat mixed salad leaves (obtained from discount store)
GCF_005537135.1_ASM553713v1,NZ_CP040319.1,47477,Salmonella,Bacteria,Humans,
GCF_019798185.1_ASM1979818v1,NZ_CP073792.1,155175,Klebsiella,Bacteria,Humans,Blood
GCF_907165365.1_USZ_VRE32_P32_hybrid_assembly,NZ_OU015710.1,101837,Enterococcus,Bacteria,Humans,Inguinal/Rectal swab
GCF_027944955.1_ASM2794495v1,NZ_CP116183.1,103383,Escherichia,Bacteria,Human-impacted,button
GCF_016452065.1_ASM1645206v1,NZ_CP051319.1,170814,Salmonella,Bacteria,Livestock,bovine
GCF_031166305.1_ASM3116630v1,NZ_CP133350.1,4956,Enterobacter,Bacteria,,
GCF_013611495.1_ASM1361149v1,NZ_CP055512.1,95633,Klebsiella,Bacteria,Human-impacted,Wastewater effluent sample
GCF_000834295.1_ASM83429v1,NZ_CP009711.1,68525,Yersinia,Bacteria,Unannotated,
GCF_019931045.1_ASM1993104v1,NZ_CP082864.1,188281,Cupriavidus,Bacteria,Unannotated,
GCF_907165365.1_USZ_VRE32_P32_hybrid_assembly,NZ_OU015711.1,51289,Enterococcus,Bacteria,Humans,Inguinal/Rectal swab
GCF_023299425.1_ASM2329942v1,NZ_CP097012.1,57161,Enterococcus,Bacteria,Food,pet food (BARF)
GCF_029193595.2_ASM2919359v2,NZ_CP135054.1,79375,Providencia,Bacteria,,
GCF_016128215.1_ASM1612821v1,NZ_CP066079.1,36375,Pediococcus,Bacteria,Unannotated,
GCF_000406765.2_ASM40676v2,NZ_CP011981.1,130552,Klebsiella,Bacteria,Unannotated,
GCF_026727735.1_ASM2672773v1,NZ_CP097558.1,177192,Pseudomonas,Bacteria,Human-impacted,plastic surface of detergent compartment of a washing machine
GCF_013724605.1_ASM1372460v1,NZ_CP056226.1,65682,Klebsiella,Bacteria,Human-impacted,Wastewater influent sample
GCF_002753015.1_ASM275301v1,NZ_CP024510.1,98344,Klebsiella,Bacteria,Unannotated,
GCF_003367415.1_ASM336741v1,NZ_CP031420.1,41292,Nocardia,Bacteria,Humans,Madura foot
GCF_022221025.1_ASM2222102v1,NZ_CP076180.1,94815,Bacillus,Bacteria,Earth,soil
GCF_000834475.1_ASM83447v1,NZ_CP009779.1,69812,Yersinia,Bacteria,Unannotated,
GCF_002151505.1_ASM215150v1,NZ_CP019755.1,26498,Borreliella,Bacteria,Animals,tick
GCF_023299585.1_ASM2329958v1,NZ_CP097070.1,79433,Enterococcus,Bacteria,Food,pet food (BARF)
GCF_021655155.1_ASM2165515v1,NZ_AP022947.1,284675,Bacillus,Bacteria,Humans,human blood of bacteremia patient
GCF_016415405.1_ASM1641540v1,NZ_CP066638.1,87407,Enterococcus,Bacteria,Humans,rectal swab
GCF_016889325.1_ASM1688932v1,NZ_CP069499.1,118909,Escherichia,Bacteria,Humans,
GCF_024917735.1_ASM2491773v1,NZ_CP103537.1,31691,Escherichia,Bacteria,Humans,blood
GCF_008693405.1_ASM869340v1,NZ_CP044038.1,77529,Klebsiella,Bacteria,Humans,clinical isolate
GCF_905337845.2_AN2351v1_cp,NZ_OW969692.1,103689,Citrobacter,Bacteria,Humans,Hospital Universitario Lucus Augusti (Lugo)
GCF_021654935.1_ASM2165493v1,NZ_AP022887.1,93825,Bacillus,Bacteria,Humans,human blood of bacteremia patient
GCF_904863295.1_KSB2_2B,NZ_LR890344.1,260491,Klebsiella,Bacteria,Humans,rectal swab
GCF_025258785.1_ASM2525878v1,NZ_CP104345.1,338291,Acinetobacter,Bacteria,Humans,Wound/Abscess
GCF_019977795.1_ASM1997779v1,NZ_AP025151.1,240687,Vibrio,Bacteria,Animals,
GCF_029961325.1_ASM2996132v1,NZ_CP124637.1,57117,Pseudomonas,Bacteria,Humans,Wound/Abscess
GCF_008931525.1_ASM893152v1,NZ_CP042574.1,86404,Enterobacter,Bacteria,Human-impacted,Shower 3
GCF_905329555.2_AI2744v1_cpp,NZ_OW967520.1,109361,Klebsiella,Bacteria,Humans,Hospital Universitario Marques de Valdecilla (Santander)
GCF_017654585.1_ASM1765458v1,NZ_CP067279.1,31170,Escherichia,Bacteria,,
GCF_009873495.1_ASM987349v1,NZ_CP046713.1,38437,Nostoc,Bacteria,Plants,lichen thallus
GCF_904866455.1_MSB1_4E,NZ_LR890694.1,112822,Escherichia,Bacteria,Humans,rectal swab
GCF_016756135.1_ASM1675613v1,NZ_AP024246.1,24567,Mycobacterium,Bacteria,Humans,sputum
GCF_020540985.1_ASM2054098v1,NZ_CP085064.1,133958,Escherichia,Bacteria,Humans,
GCF_014250335.1_ASM1425033v1,NZ_CP060166.1,116554,Salmonella,Bacteria,Humans,blood
GCF_017165375.1_ASM1716537v1,NZ_CP062767.1,92793,Escherichia,Bacteria,Livestock,Bovine Faeces
GCF_000833045.1_ASM83304v1,NZ_CP009966.1,53501,Bacillus,Bacteria,Animals,Animal; carcass of dead zebra
GCF_022405615.1_ASM2240561v1,NZ_CP062397.1,39353,Staphylococcus,Bacteria,Humans,
GCF_905330065.2_AI2834v1_cpp,NZ_OW967006.1,63589,Escherichia,Bacteria,Humans,Hospital General de Alicante (Alicante)
GCF_009873495.1_ASM987349v1,NZ_CP046709.1,56077,Nostoc,Bacteria,Plants,lichen thallus
GCF_016889125.1_ASM1688912v1,NZ_CP069462.1,3360,Escherichia,Bacteria,Humans,
GCF_013610655.1_ASM1361065v1,NZ_CP055328.1,120646,Klebsiella,Bacteria,Human-impacted,Freshwater sample from upstream of wastewater treatment plant
GCF_000834415.1_ASM83441v1,NZ_CP009758.1,68394,Yersinia,Bacteria,Unannotated,
GCF_023822665.1_ASM2382266v1,NZ_CP097847.1,41997,Neisseria,Bacteria,Humans,Urethral swab
GCF_022405455.1_ASM2240545v1,NZ_CP062379.1,27265,Staphylococcus,Bacteria,Humans,
GCF_002633805.1_ASM263380v1,NZ_CP017683.1,39249,Staphylococcus,Bacteria,Food,bakery environment concentrated whipped topping
GCF_013625575.1_ASM1362557v1,NZ_CP058162.1,50583,Enterobacter,Bacteria,Human-impacted,Wastewater effluent sample
GCF_013267335.1_ASM1326733v1,NZ_CP053982.1,55939,Bacillus,Bacteria,Unannotated,
GCF_002948835.2_ASM294883v2,NZ_CP026758.1,32789,Klebsiella,Bacteria,Unannotated,
GCF_003004215.1_ASM300421v1,NZ_CP021278.1,76972,Legionella,Bacteria,Humans,
GCF_001676725.1_ASM167672v1,NZ_CP016173.1,118591,Bordetella,Bacteria,Humans,Sputum
GCF_003944565.2_ASM394456v2,NZ_CP040808.1,80801,Escherichia,Bacteria,Livestock,feces
GCF_021228615.1_ASM2122861v1,NZ_CP089322.1,40605,Enterococcus,Bacteria,Humans,blood
GCF_009664535.1_ASM966453v1,NZ_CP045942.1,234182,Shigella,Bacteria,Humans,
GCF_015074905.1_ASM1507490v1,NZ_CP063296.1,102507,Salmonella,Bacteria,Humans,stool
GCF_002866125.1_ASM286612v1,NZ_CP014218.1,57585,Clostridium,Bacteria,Unannotated,
GCF_028553885.1_ASM2855388v1,NZ_CP067172.1,60130,Paracoccus,Bacteria,Earth,isolated from tidal flat sediment
GCF_013167875.1_ASM1316787v1,NZ_CP038381.1,58509,Escherichia,Bacteria,Humans,
GCF_023035835.1_ASM2303583v1,NZ_CP073226.1,24802,Borrelia,Bacteria,Animals,mouse blood from experimental transmission feeding
GCF_026559775.1_ASM2655977v1,NZ_CP110286.1,181634,Bacillus,Bacteria,Unannotated,
GCF_030644285.1_ASM3064428v1,NZ_CP129207.1,94032,Salmonella,Bacteria,,
GCF_002073415.2_ASM207341v2,NZ_CP020434.2,254131,Bacillus,Bacteria,Humans,Blood
GCF_022655645.1_ASM2265564v1,NZ_CP093387.1,93849,Salmonella,Bacteria,Humans,feces
GCF_020423145.1_ASM2042314v1,NZ_CP076246.1,95209,Escherichia,Bacteria,Livestock,Rectal swab of live bovine cattle
GCF_002151485.1_ASM215148v1,NZ_CP019920.1,25789,Borreliella,Bacteria,Humans,
GCF_001721025.1_ASM172102v1,NZ_CP012459.1,31916,Enterococcus,Bacteria,,
GCF_000833045.1_ASM83304v1,NZ_CP009967.1,465970,Bacillus,Bacteria,Animals,Animal; carcass of dead zebra
GCF_016889725.1_ASM1688972v1,NZ_CP069529.1,50009,Escherichia,Bacteria,Humans,
GCF_018845095.1_ASM1884509v1,NZ_CP073022.1,2378,Synechocystis,Bacteria,Unannotated,
GCF_025860405.1_ASM2586040v1,NZ_CP063795.1,39072,Tolypothrix,Bacteria,Earth,soil
GCF_016593175.1_ASM1659317v1,NZ_AP023060.1,35300,Nitratiruptor,Bacteria,Water,marine hydrothermal vent chimney
GCF_025258765.1_ASM2525876v1,NZ_CP104343.1,335718,Acinetobacter,Bacteria,Humans,Wound/Abscess
GCF_003432165.1_ASM343216v1,NZ_CP031806.1,53943,Klebsiella,Bacteria,Humans,rectal swab
GCF_029492705.2_ASM2949270v2,NZ_CP120421.1,17034,Lactococcus,Bacteria,,
GCF_009730355.1_ASM973035v1,NZ_CP046349.1,42255,Citrobacter,Bacteria,Humans,inflamed biopsy tissue from sigmoid colon
GCF_019344315.1_ASM1934431v1,NZ_CP063230.1,87710,Serratia,Bacteria,Water,water surface of oligotrophic pond
GCF_023586845.4_ASM2358684v4,NZ_CP097782.1,64637,Bacillus,Bacteria,,
GCF_904864555.1_MSB1_7C,NZ_LR890406.1,97983,Escherichia,Bacteria,Humans,rectal swab
GCF_018283575.2_ASM1828357v2,NZ_CP094994.1,102252,Klebsiella,Bacteria,Humans,intestine
GCF_030437975.1_ASM3043797v1,NZ_CP129298.1,13521,Lactococcus,Bacteria,Food,
GCF_002833445.1_ASM283344v1,NZ_CP025141.1,204734,Klebsiella,Bacteria,Humans,Pancreatic Fluid
GCF_009905135.1_ASM990513v1,NZ_CP047577.1,178137,Escherichia,Bacteria,Humans,feces
GCF_020172765.2_ASM2017276v2,NZ_CP083462.1,158496,Aeromonas,Bacteria,Water,fresh water [ENVO:00002011]
GCF_029962605.1_ASM2996260v1,NZ_CP124751.1,83787,Serratia,Bacteria,Humans,wound swab
GCF_013706815.1_ASM1370681v1,NZ_CP055334.1,43193,Klebsiella,Bacteria,,
GCF_001441245.1_ASM144124v1,NZ_CP012936.1,98999,Salmonella,Bacteria,Food,turkey meat
GCF_013786145.1_ASM1378614v1,NZ_CP056624.1,152768,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_002753055.1_ASM275305v1,NZ_CP024524.1,89345,Klebsiella,Bacteria,Humans,cerebrospinal fluid
GCF_030007315.1_ASM3000731v1,NZ_CP124807.1,63589,Klebsiella,Bacteria,Humans,Human gut
GCF_032609235.1_ASM3260923v1,NZ_CP118294.1,17843,Borreliella,Bacteria,,
GCF_013167935.1_ASM1316793v1,NZ_CP038385.1,80565,Escherichia,Bacteria,Humans,
GCF_003146705.1_ASM314670v1,NZ_CP029448.1,204825,Serratia,Bacteria,Humans,Peri-rectal
GCF_001019495.2_ASM101949v2,NZ_CP026959.1,10825,Staphylococcus,Bacteria,Humans,wound
GCF_027944835.1_ASM2794483v1,NZ_CP116147.1,82763,Escherichia,Bacteria,Humans,ICU patient rectal swab
GCF_029714165.1_ASM2971416v1,NZ_CP121589.1,68108,Acinetobacter,Bacteria,Humans,
GCF_013393925.1_ASM1339392v1,NZ_CP040287.1,38587,Nostoc,Bacteria,Plants,
GCF_030863785.1_ASM3086378v1,NZ_CP132954.1,19540,Escherichia,Bacteria,,
GCF_011745665.1_ASM1174566v1,NZ_CP050254.1,32446,Zophobihabitans,Bacteria,Animals,
GCF_028622135.1_ASM2862213v1,NZ_CP117725.1,33750,Enterobacter,Bacteria,Humans,Rectal Swab
GCF_003204265.1_ASM320426v1,NZ_CP029735.1,63868,Citrobacter,Bacteria,Unannotated,
GCF_003445395.2_ASM344539v2,NZ_CP013277.1,349600,Bacillus,Bacteria,Unannotated,
GCF_023375225.1_ASM2337522v1,NZ_CP088197.1,20449,Enterococcus,Bacteria,Livestock,fecal sample
GCF_002903105.1_ASM290310v1,NZ_CP026209.1,42693,Escherichia,Bacteria,Unannotated,
GCF_013167395.1_ASM1316739v1,NZ_CP038320.1,95338,Escherichia,Bacteria,Livestock,
GCF_024917795.1_ASM2491779v1,NZ_CP103530.1,133836,Escherichia,Bacteria,Humans,blood
GCF_013743055.1_ASM1374305v1,NZ_CP056638.1,104193,Citrobacter,Bacteria,Human-impacted,Wastewater influent sample
GCF_030007975.1_ASM3000797v1,NZ_CP124821.1,86154,Escherichia,Bacteria,Humans,Human gut
GCF_000695935.1_ASM69593v1,NZ_CP007734.1,338850,Klebsiella,Bacteria,Humans,groin
GCF_022220985.1_ASM2222098v1,NZ_CP076175.1,94805,Bacillus,Bacteria,Humans,
GCF_015654185.1_ASM1565418v1,NZ_CP064066.1,173200,Rhodococcus,Bacteria,Human-impacted,nitrile contaminated soil
GCF_031198825.1_ASM3119882v1,NZ_CP133567.1,47645,Salmonella,Bacteria,,
GCF_001991075.2_ASM199107v2,NZ_CP014203.1,120667,Clostridium,Bacteria,Unannotated,
GCF_023035855.1_ASM2303585v1,NZ_CP073181.1,10423,Borrelia,Bacteria,Animals,lab mouse blood
GCF_905329885.2_AI2826v1_cpp,NZ_OW967266.1,65352,Citrobacter,Bacteria,Humans,Hospital Universitario Gregorio Maranon (Madrid)
GCF_025398355.1_ASM2539835v1,NZ_CP104663.1,9294,Klebsiella,Bacteria,Humans,urine
GCF_025985425.1_ASM2598542v1,NZ_CP094973.1,9996,Entomomonas,Bacteria,Animals,larva tissue
GCF_028335585.1_ASM2833558v1,NZ_CP116545.1,39454,Enterococcus,Bacteria,Livestock,fecal sample
GCF_009938285.1_ASM993828v1,NZ_AP022343.1,108102,Enterococcus,Bacteria,Humans,
GCF_024224355.1_ASM2422435v1,NZ_CP100484.1,39753,Klebsiella,Bacteria,Livestock,pooled poultry feces
GCF_008693405.1_ASM869340v1,NZ_CP044035.1,114306,Klebsiella,Bacteria,Humans,clinical isolate
GCF_016889725.1_ASM1688972v1,NZ_CP069531.1,68185,Escherichia,Bacteria,Humans,
GCF_030389835.1_ASM3038983v1,NZ_CP128959.1,93433,Escherichia,Bacteria,Unannotated,
GCF_016904275.1_ASM1690427v1,NZ_CP070084.1,42567,Klebsiella,Bacteria,Humans,
GCF_001687125.1_ASM168712v1,NZ_CP016381.1,143348,Aeromonas,Bacteria,Humans,Perirectal swab
GCF_032610675.1_ASM3261067v1,NZ_CP119376.1,22043,Borreliella,Bacteria,,
GCF_022221085.1_ASM2222108v1,NZ_CP076188.1,181933,Bacillus,Bacteria,Livestock,cow carcass
GCF_019670405.1_ASM1967040v1,NZ_AP023314.1,99131,Salmonella,Bacteria,Livestock,Bos taurus
GCF_031165635.1_ASM3116563v1,NZ_CP133339.1,147899,Enterobacter,Bacteria,,
GCF_000295695.2_ASM29569v2,NZ_CP047132.1,181933,Bacillus,Bacteria,Livestock,cow carcass
GCF_025983385.1_ASM2598338v1,NZ_CP087766.1,32189,Moraxella,Bacteria,Livestock,
GCF_005491205.1_ASM549120v1,NZ_CP028042.1,37502,Nissabacter,Bacteria,,
GCF_000025625.1_ASM2562v1,NC_013925.1,58487,Natrialba,Archaea,Earth,ATCC 43099
GCF_030297535.1_ASM3029753v1,NZ_AP028132.1,83499,Vibrio,Bacteria,Humans,Stool sample from a patient with diarrhea
GCF_032375085.1_ASM3237508v1,NZ_CP135647.1,147576,Escherichia,Bacteria,,
GCF_016756175.1_ASM1675617v1,NZ_AP024263.1,24567,Mycobacterium,Bacteria,Humans,sputum
GCF_905330515.2_AI2884v1_cpp,NZ_OW968017.1,63570,Serratia,Bacteria,,
GCF_001690115.1_ASM169011v1,NZ_CP016522.1,101723,Salmonella,Bacteria,Food,Chicken Meat
GCF_030007575.1_ASM3000757v1,NZ_CP124815.1,43704,Citrobacter,Bacteria,Humans,Human gut
GCF_002903005.1_ASM290300v1,NZ_CP026175.1,172259,Klebsiella,Bacteria,Unannotated,
GCF_002903485.1_ASM290348v1,NZ_CP026227.1,51597,Aeromonas,Bacteria,Unannotated,
GCF_028622675.1_ASM2862267v1,NZ_CP117735.1,69503,Klebsiella,Bacteria,Humans,skin
GCF_024918795.1_ASM2491879v1,NZ_CP103724.1,84525,Enterobacter,Bacteria,Humans,blood
GCF_011307595.1_ASM1130759v1,NZ_CP043797.1,9924,Staphylococcus,Bacteria,,
GCF_003146705.1_ASM314670v1,NZ_CP029447.1,73100,Serratia,Bacteria,Humans,Peri-rectal
GCF_004126515.1_ASM412651v1,NZ_CP034942.1,57310,Halorubrum,Archaea,Earth,Hypersaline Lake
GCF_008931505.1_ASM893150v1,NZ_CP042518.1,243455,Citrobacter,Bacteria,Human-impacted,ARJO bathroom
GCF_904866345.1_MINF_8D,NZ_LR890607.1,126618,Escherichia,Bacteria,Humans,urine
GCF_008693445.1_ASM869344v1,NZ_CP044045.1,138560,Klebsiella,Bacteria,Humans,clinical isolate
GCF_022220505.1_ASM2222050v1,NZ_CP076140.1,94806,Bacillus,Bacteria,Livestock,
GCF_013372325.1_ASM1337232v1,NZ_CP054221.1,86740,Escherichia,Bacteria,Humans,urine
GCF_016889185.1_ASM1688918v1,NZ_CP069481.1,92886,Escherichia,Bacteria,Humans,
GCF_022220585.1_ASM2222058v1,NZ_CP076150.1,94815,Bacillus,Bacteria,Earth,soil
GCF_030291715.1_ASM3029171v1,NZ_CP127879.1,10347,Priestia,Bacteria,Earth,soil
GCF_903993175.2_AI2769v1_cp,NZ_OW993924.1,63589,Klebsiella,Bacteria,,
GCF_002151465.1_ASM215146v1,NZ_CP019852.1,36714,Borreliella,Bacteria,Humans,human
GCF_008124125.1_ASM812412v1,NZ_CP043184.1,43125,Escherichia,Bacteria,Animals,mouse gut
GCF_024599935.1_ASM2459993v1,NZ_CP102299.1,13858,Clostridium,Bacteria,Livestock,healthy golden retriever
GCF_003790485.1_ASM379048v1,NZ_CP033629.1,67867,Klebsiella,Bacteria,Humans,rectal swab
GCF_002208095.1_ASM220809v1,NZ_CP017992.1,79045,Enterobacter,Bacteria,Unannotated,
GCF_016727385.1_ASM1672738v1,NZ_CP068137.1,36792,Staphylococcus,Bacteria,Unannotated,
GCF_024927945.1_ASM2492794v1,NZ_CP103859.1,12828,Lactobacillus,Bacteria,Humans,
GCF_032607615.1_ASM3260761v1,NZ_CP119360.1,21971,Borreliella,Bacteria,,
GCF_002151465.1_ASM215146v1,NZ_CP019853.1,38841,Borreliella,Bacteria,Humans,human
GCF_013393925.1_ASM1339392v1,NZ_CP040286.1,56592,Nostoc,Bacteria,Plants,
GCF_017474165.1_ASM1747416v1,NZ_CP059090.1,98719,Pantoea,Bacteria,Plants,
GCF_009905115.1_ASM990511v1,NZ_CP047574.1,64451,Escherichia,Bacteria,Humans,feces
GCF_024917655.1_ASM2491765v1,NZ_CP103763.1,128773,Escherichia,Bacteria,Humans,blood
GCF_009873495.1_ASM987349v1,NZ_CP046712.1,40105,Nostoc,Bacteria,Plants,lichen thallus
GCF_003203635.1_ASM320363v1,NZ_CP029661.1,28166,Staphylococcus,Bacteria,Unannotated,
GCF_024917735.1_ASM2491773v1,NZ_CP103535.1,94558,Escherichia,Bacteria,Humans,blood
GCF_016889165.1_ASM1688916v1,NZ_CP069474.1,30898,Staphylococcus,Bacteria,Unannotated,
GCF_030389855.1_ASM3038985v1,NZ_CP128966.1,64098,Escherichia,Bacteria,Unannotated,
GCF_030297535.1_ASM3029753v1,NZ_AP028130.1,370014,Vibrio,Bacteria,Humans,Stool sample from a patient with diarrhea
GCF_905071835.1_MSB1_4I,NZ_LR898876.1,82205,Escherichia,Bacteria,Humans,rectal swab
GCF_030585325.1_ASM3058532v1,NZ_CP043471.1,32363,Acinetobacter,Bacteria,,
GCF_017161505.1_ASM1716150v1,NZ_CP048801.1,192902,Klebsiella,Bacteria,Humans,fecal isolate from poultry farm worker
GCF_003571705.1_ASM357170v1,NZ_CP032209.1,161618,Klebsiella,Bacteria,Unannotated,
GCF_021391515.1_ASM2139151v1,NZ_CP090087.1,70091,Bacillus,Bacteria,Human-impacted,Contaminated soil sample CPT56DS-C from Oak Ridge Reservation Area 3
GCF_024918295.1_ASM2491829v1,NZ_CP103647.1,90382,Escherichia,Bacteria,Humans,blood
GCF_019431315.1_ASM1943131v1,NZ_CP080234.1,77484,Escherichia,Bacteria,Livestock,clinical sample
GCF_016903115.1_ASM1690311v1,NZ_CP069834.1,33323,Klebsiella,Bacteria,Humans,
GCF_024758745.1_ASM2475874v1,NZ_CP097164.1,19592,Lactiplantibacillus,Bacteria,Humans,
GCF_022220625.1_ASM2222062v1,NZ_CP076156.1,94815,Bacillus,Bacteria,Earth,soil
GCF_004798765.1_ASM479876v1,NZ_CP039280.1,26170,Salmonella,Bacteria,Food,food
GCF_006385735.2_ASM638573v2,NZ_CP043904.1,119324,Shewanella,Bacteria,Human-impacted,wastewater
GCF_029633825.1_ASM2963382v1,NZ_CP090645.1,162811,Burkholderia,Bacteria,Livestock,milk
GCF_024918395.1_ASM2491839v1,NZ_CP103744.1,72458,Escherichia,Bacteria,Humans,blood
